References	Quantity	PartNumber	Digikey	MPN
25/27	1		90131-0123		WM8121-ND	538901310123
BOOT0	1		90131-0122		WM8120-ND	538901310122
C1-C2	2		22pF 0603		399-7874-2-ND	C0603C220J1GACTU
C3-C4	2		100nF 0603		399-5089-2-ND	C0603C104K5RACTU
C5	1	4.7uF 0603		1276-6794-6-ND	CL10A475KL8NRNC
C6	1	10nF 0603		399-13384-1-ND	C0603C103J5JAC7867
C7	1	1uF 0603		490-10732-6-ND	GRM188R61H105KAALD
C8	1	10uF 0603		490-13248-6-ND	GRM188R6YA106MA73D
HC49SMD	1	8.000	HC49/4H_SMX	887-1599-6-ND	AT-8.000MAGK-T
LM1117-3.3	1	REG1117-3.3	LM1117MPX-3.3/NOPBCT-ND	LM1117MPX-3.3/NOPB
PEDALS	1		788750-1	788750-1-ND	788750-1
R1-R2	2	22R 0603		311-22GRCT-ND	RC0603JR-0722RL
R3	1	100k 0603		311-100KGRCT-ND	RC0603JR-07100KL
R4	1	4.7k 0603		311-4.7KGRCT-ND	RC0603JR-074K7L
SHIFTER	1		787203-3	A32089-ND	5747250-6
ST-LINK	1		640453-5	A19341-ND	640453-5
STM32F042F6P6	1		STM32F042F6P	STM32F042F6P6-ND	STM32F042F6P6
USBMicroB	1		ZX62-B-5PA	H125270CT-ND	ZX62-B-5PA(33)
